MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2011 / 11,08,3898.0,485.1,297.7
2011 / 12,05,4928.2,888.2,583.7
2011 / 12,12,6284.6,581.6,603.5
2012 / 01,10,3149.6,424.1,386.6
2012 / 02,07,5101.4,720.0,457.4
2012 / 02,05,4092.4,599.9,458.7
2012 / 03,02,2592.6,347.0,271.6
2012 / 04,08,3390.5,440.7,306.3
2012 / 04,05,4701.8,603.4,495.3
2012 / 04,12,6322.1,426.3,521.2
2012 / 04,14,2819.0,205.2,187.2
2012 / 05,11,3581.3,555.1,329.2
2012 / 05,01,4402.5,574.6,434.6
2012 / 07,13,5836.0,532.7,594.7
2012 / 07,10,3969.3,400.7,384.6
2012 / 08,10,4015.2,408.9,379.5
2012 / 10,12,6217.4,425.1,501.6
2012 / 10,06,2849.5,395.3,239.3
2012 / 10,04,4218.0,315.8,238.3
2012 / 11,06,3208.9,478.1,305.8
2012 / 12,13,5359.8,595.7,536.1
2012 / 12,03,4544.5,411.6,336.7
2012 / 12,01,4097.9,633.5,444.3
2012 / 12,05,4829.0,771.6,507.1
2013 / 01,01,4047.8,593.4,502.2
2013 / 02,03,3833.0,321.7,302.7
2013 / 02,07,5079.3,715.0,465.6
2013 / 04,09,4038.6,407.0,349.2
2013 / 05,11,3498.6,515.5,339.6
2013 / 05,03,5082.0,402.2,364.9
2013 / 05,13,6375.6,545.8,612.0
2013 / 05,05,5421.5,675.3,540.5
2013 / 05,12,7580.8,489.2,577.4
2013 / 06,05,5129.1,719.4,559.6
2013 / 06,07,6838.5,921.9,567.0
2013 / 06,04,4361.3,369.8,279.6
2013 / 07,13,6292.7,566.5,708.7
2013 / 09,07,6435.7,817.3,502.7
2013 / 09,06,2755.5,399.6,264.8
2013 / 09,02,2709.7,369.4,263.2
2013 / 10,13,5188.3,505.9,565.3
2013 / 10,10,3785.4,375.3,344.0
2013 / 11,10,3544.4,360.4,324.7
2014 / 01,03,4300.4,410.2,418.5
2014 / 02,05,3689.5,545.0,514.9
2014 / 03,06,2570.9,390.4,283.4
2014 / 03,01,3916.8,540.2,493.3
2014 / 03,07,5792.3,788.5,532.1
2014 / 04,13,5506.5,532.6,604.0
2014 / 04,09,4105.2,432.9,410.2
2014 / 06,11,3242.2,557.4,379.7
2014 / 06,01,4251.4,613.3,519.7
2014 / 06,06,2873.5,449.6,285.9
2014 / 07,14,3717.8,238.5,209.0
2014 / 07,09,4547.4,463.9,443.0
2014 / 07,06,3064.8,442.4,298.4
2014 / 08,05,4718.6,626.6,551.9
2014 / 08,07,6625.4,823.3,565.3
2014 / 09,05,4784.6,630.3,549.1
2014 / 09,10,3857.5,380.2,348.2
2014 / 10,12,6471.8,482.0,600.8
2014 / 10,02,2895.8,403.7,295.3
2014 / 10,09,4118.6,430.6,396.3
2014 / 11,04,3861.0,300.5,250.7
2014 / 12,04,4432.8,418.4,302.0
2014 / 12,06,2893.3,493.1,314.7
2015 / 01,01,3680.8,490.2,456.7
2015 / 01,08,3137.5,391.6,280.9
2015 / 03,05,4450.1,618.5,594.6
2015 / 03,08,3438.0,488.8,337.2
2015 / 04,14,3199.4,218.6,190.1
2015 / 05,03,4894.2,358.8,378.8
2015 / 05,04,4235.2,313.4,297.5
2015 / 07,05,4929.9,663.1,664.4
2015 / 07,13,6129.8,550.8,721.2
2015 / 09,14,3218.1,232.7,204.0
2015 / 09,01,4068.9,567.9,531.9
2015 / 09,13,5520.7,529.5,667.1
2015 / 09,11,3117.6,523.9,395.4
2015 / 11,10,3271.0,369.4,376.6
2015 / 12,01,4132.6,706.9,605.7
2015 / 12,09,4118.8,576.7,509.4
2015 / 12,11,3128.4,658.6,453.4
2015 / 12,06,2895.5,563.0,364.1
2016 / 01,09,3304.8,392.0,390.8
2016 / 01,03,4106.4,352.7,368.1
2016 / 01,01,3549.1,508.6,494.9
2016 / 01,06,2484.1,390.1,304.5
2016 / 02,11,2386.1,507.8,409.6
2016 / 02,10,2742.8,395.2,427.5
2016 / 03,01,3934.3,557.2,574.0
2016 / 03,04,4124.8,333.4,350.7
2016 / 03,10,3300.7,397.9,443.7
2016 / 04,10,3326.1,389.5,433.0
2016 / 05,09,4203.8,426.2,470.6
2016 / 05,07,6648.5,767.3,638.9
