MONTH,COMMUNITYDISTRICT,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2023 / 12,03,2144.4,141.6,141.1
1991 / 01,11,914.7,,
1991 / 01,12,1267.1,,
1991 / 01,10,696.0,,
1991 / 02,10,1774.4,,
1991 / 02,06,1845.1,,
1991 / 03,12,3911.4,,
1991 / 04,10,2415.1,,
1991 / 05,09,5610.1,,
1991 / 05,10,2568.9,,
1991 / 06,12,4455.9,,
1991 / 07,08,3031.2,,
1991 / 07,02,1559.5,,
1991 / 08,10,2258.8,,
1991 / 10,11,3329.3,,
1991 / 10,01,2628.0,,
1991 / 11,11,3249.4,,
1991 / 12,04,4435.0,,
1991 / 12,02,1595.6,,
1991 / 12,03,2200.4,,
1992 / 01,02,1429.5,,
1992 / 02,01,2256.1,,
1992 / 02,07,4010.8,,
1992 / 04,10,2290.0,,
1992 / 04,06,2092.7,,
1992 / 05,05,3778.3,,
1992 / 05,08,3226.4,,
1992 / 05,02,1506.9,,
1992 / 05,11,3342.5,,
1992 / 07,01,2591.0,,
1992 / 08,02,1585.7,,
1992 / 08,06,2125.2,,
1992 / 08,03,2077.4,,
1992 / 09,02,1583.9,,
1992 / 10,05,3722.7,,
1993 / 02,12,3056.0,,
1993 / 02,10,1559.0,,
1993 / 02,08,2144.1,,
1993 / 02,07,3239.3,,
1993 / 02,06,1662.4,,
1993 / 03,08,2549.4,,
1993 / 03,10,2119.8,,
1993 / 03,05,3740.4,,
1993 / 03,09,4747.5,,
1993 / 03,02,1493.8,,
1993 / 04,08,2700.3,47.8,19.4
1993 / 05,07,3720.1,164.7,137.3
1993 / 05,02,1394.4,14.0,14.0
1993 / 06,10,2419.7,308.1,194.6
1993 / 06,09,5342.4,180.1,171.1
1993 / 06,02,1510.6,25.3,25.3
1993 / 07,09,5001.0,172.0,189.4
1993 / 08,07,3837.0,81.4,84.2
1993 / 08,02,1491.9,12.9,20.2
1993 / 09,12,3975.3,333.0,340.6
1993 / 09,04,3920.2,,
1993 / 10,11,2973.0,344.3,221.9
1993 / 11,12,4103.7,323.2,318.9
1993 / 11,02,1448.6,15.4,12.8
1993 / 12,09,4779.8,12.8,10.1
1993 / 12,08,2640.5,19.4,10.9
1993 / 12,03,2038.9,42.5,54.2
1994 / 01,11,2865.5,274.2,255.4
1994 / 02,11,2282.5,242.0,177.1
1994 / 03,04,4291.6,129.7,123.5
1994 / 05,09,4831.8,,
1994 / 05,10,2294.0,325.2,194.2
1994 / 05,12,4188.7,330.6,334.3
1994 / 07,10,2234.1,302.8,213.0
1994 / 07,11,3206.2,315.1,244.1
1994 / 07,12,4665.9,304.4,381.4
1994 / 09,06,1992.0,53.8,67.7
1994 / 09,04,4023.8,107.3,108.2
